add 533 user word
+++++++++++++++++++++++++++++
stop words size is: 1226
The current weibo list size is: 5478
The K hours weibo list size is: 6031
add 533 user word
获取特征词用时：2
生日		IDF：594.329		出现次数：96		词频：147
喜欢		IDF：499.144		出现次数：97		词频：124
知道		IDF：462.296		出现次数：104		词频：117
加油		IDF：450.834		出现次数：84		词频：108
觉得		IDF：395.521		出现次数：92		词频：97
看到		IDF：388.133		出现次数：95		词频：96
感觉		IDF：374.218		出现次数：81		词频：89
谢谢		IDF：368.74		出现次数：64		词频：83
鼓掌		IDF：364.687		出现次数：48		词频：77
蛋糕		IDF：364.481		出现次数：51		词频：78
活动		IDF：355.412		出现次数：64		词频：80
时间		IDF：344.755		出现次数：62		词频：77
同学		IDF：325.167		出现次数：63		词频：73
天气		IDF：320.474		出现次数：72		词频：74
支持		IDF：294.088		出现次数：55		词频：64
东西		IDF：293.916		出现次数：59		词频：65
大学		IDF：288.546		出现次数：52		词频：62
希望		IDF：285.043		出现次数：51		词频：61
老师		IDF：278.084		出现次数：53		词频：60
学院		IDF：275.109		出现次数：40		词频：56
工作		IDF：272.582		出现次数：42		词频：56
生活		IDF：272.292		出现次数：54		词频：59
阳光		IDF：268.443		出现次数：49		词频：57
毕业		IDF：261.586		出现次数：43		词频：54
期待		IDF：259.545		出现次数：53		词频：56
我是歌手		IDF：249.605		出现次数：49		词频：53
比赛		IDF：242.14		出现次数：39		词频：49
世界		IDF：241.546		出现次数：48		词频：51
发现		IDF：240.186		出现次数：49		词频：51
太阳		IDF：233.642		出现次数：42		词频：48
宿舍		IDF：233.642		出现次数：42		词频：48
学校		IDF：231.374		出现次数：44		词频：48
手机		IDF：231.099		出现次数：36		词频：46
学习		IDF：221.069		出现次数：40		词频：45
应该		IDF：220.066		出现次数：41		词频：45
回来		IDF：217.988		出现次数：43		词频：45
心情		IDF：217.988		出现次数：43		词频：45
青春		IDF：216.193		出现次数：28		词频：41
分享		IDF：215.175		出现次数：41		词频：44
决赛		IDF：214.703		出现次数：33		词频：42
主页		IDF：212.094		出现次数：35		词频：42
学生		IDF：210.808		出现次数：32		词频：41
围观		IDF：206.819		出现次数：31		词频：40
感谢		IDF：206.332		出现次数：40		词频：42
朋友		IDF：205.395		出现次数：41		词频：42
兔子		IDF：195.101		出现次数：28		词频：37
小时		IDF：194.256		出现次数：33		词频：38
志愿者		IDF：192.541		出现次数：19		词频：34
需要		IDF：191.895		出现次数：35		词频：38
花心		IDF：191.529		出现次数：23		词频：35
好像		IDF：189.894		出现次数：37		词频：38
进行		IDF：184.032		出现次数：33		词频：36
继续		IDF：180.86		出现次数：36		词频：36
孩子		IDF：176.936		出现次数：30		词频：34
关注		IDF：174.817		出现次数：32		词频：34
欢迎		IDF：173.808		出现次数：33		词频：34
回复		IDF：173.808		出现次数：33		词频：34
想起		IDF：172.803		出现次数：29		词频：33
可怜		IDF：172.381		出现次数：21		词频：31
男人		IDF：169.64		出现次数：23		词频：31
准备		IDF：168.696		出现次数：33		词频：33
问题		IDF：166.528		出现次数：30		词频：32
报名		IDF：165.524		出现次数：22		词频：30
电影		IDF：163.463		出现次数：28		词频：31
回家		IDF：162.675		出现次数：20		词频：29
机会		IDF：162.33		出现次数：29		词频：31
大赛		IDF：160.006		出现次数：22		词频：29
视频		IDF：158.19		出现次数：28		词频：30
记得		IDF：158.19		出现次数：28		词频：30
事情		IDF：157.093		出现次数：29		词频：30
人生		IDF：157.093		出现次数：29		词频：30
回去		IDF：156.283		出现次数：25		词频：29
照片		IDF：156.12		出现次数：30		词频：30
师兄		IDF：155.066		出现次数：26		词频：29
推荐		IDF：152.022		出现次数：24		词频：28
看看		IDF：151.857		出现次数：29		词频：29
女人		IDF：151.857		出现次数：29		词频：29
礼物		IDF：151.456		出现次数：20		词频：27
思考		IDF：151.456		出现次数：20		词频：27
决定		IDF：149.719		出现次数：26		词频：28
明信片		IDF：147.751		出现次数：23		词频：27
感动		IDF：147.644		出现次数：28		词频：28
抽奖		IDF：147.497		出现次数：15		词频：25
地方		IDF：145.505		出现次数：25		词频：27
高校		IDF：144.578		出现次数：21		词频：26
吃饭		IDF：143.454		出现次数：22		词频：26
收到		IDF：142.279		出现次数：23		词频：26
告诉		IDF：141.163		出现次数：24		词频：26
声音		IDF：140.237		出现次数：20		词频：25
久违		IDF：140.237		出现次数：20		词频：25
成为		IDF：140.116		出现次数：25		词频：26
轉發		IDF：139.025		出现次数：26		词频：26
馋嘴		IDF：137.28		出现次数：14		词频：23
遇到		IDF：136.807		出现次数：23		词频：25
电话号码		IDF：135.734		出现次数：24		词频：25
社会		IDF：132.815		出现次数：17		词频：23
联系		IDF：132.419		出现次数：22		词频：24
参加		IDF：131.334		出现次数：23		词频：24
新闻		IDF：131.334		出现次数：23		词频：24
表示		IDF：131.334		出现次数：23		词频：24
私信		IDF：131.334		出现次数：23		词频：24
